city1,city2,actual_fare,predicted_fare,pct_diff,suggested_alternatives
"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)",435.42,377.1603404581547,0.15446920922564272,"New Haven, CT;New Haven, CT;Seattle, WA"
"Fort Myers, FL","Hartford, CT",241.86,201.75083369016647,0.19880545510622344,"New Haven, CT;New Haven, CT;Seattle, WA"
"Fresno, CA","Las Vegas, NV",144.02,120.44357651472092,0.19574662400030543,"Seattle, WA;Seattle, WA;Seattle, WA"
"Harlingen/San Benito, TX","Houston, TX",153.65,119.95053380727768,0.2809446954764423,"Minneapolis/St. Paul, MN;Minneapolis/St. Paul, MN;Minneapolis/St. Paul, MN"
"Hartford, CT","Nashville, TN",284.12,244.34173965454102,0.16279764726934864,"San Francisco, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Hartford, CT","Nashville, TN",257.09,215.55751597881317,0.19267471993539287,"San Francisco, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Hartford, CT","Minneapolis/St. Paul, MN",298.58,258.9668646454811,0.1529660383723154,"San Francisco, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Hartford, CT","Myrtle Beach, SC",130.59,108.84961819648743,0.19972859954610422,"San Francisco, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Hartford, CT","West Palm Beach/Palm Beach, FL",216.65,179.01287707686424,0.21024813151835553,"San Francisco, CA (Metropolitan Area);Los Angeles, CA (Metropolitan Area);Las Vegas, NV"
"Houston, TX","Nashville, TN",251.58,218.22160571813583,0.15286476411025623,"New York City, NY (Metropolitan Area);Seattle, WA;New York City, NY (Metropolitan Area)"
"Houston, TX","Reno, NV",305.29,260.9255159795284,0.1700273882909647,"New York City, NY (Metropolitan Area);Seattle, WA;New York City, NY (Metropolitan Area)"
"Indianapolis, IN","Minneapolis/St. Paul, MN",268.89,231.52350890636444,0.1613939390869709,"Punta Gorda, FL;Seattle, WA;Los Angeles, CA (Metropolitan Area)"
